DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:NAMA_10_FTE(1.0),19/12/22 23:00:00,A,EUR,AT,2021,48317,
ESTAT:NAMA_10_FTE(1.0),19/12/22 23:00:00,A,EUR,BE,2021,48722,
ESTAT:NAMA_10_FTE(1.0),19/12/22 23:00:00,A,EUR,BG,2021,10345,
ESTAT:NAMA_10_FTE(1.0),19/12/22 23:00:00,A,EUR,CY,2021,22734,
ESTAT:NAMA_10_FTE(1.0),19/12/22 23:00:00,A,EUR,CZ,2021,18189,
ESTAT:NAMA_10_FTE(1.0),19/12/22 23:00:00,A,EUR,DE,2021,44404,
ESTAT:NAMA_10_FTE(1.0),19/12/22 23:00:00,A,EUR,DK,2021,63261,
ESTAT:NAMA_10_FTE(1.0),19/12/22 23:00:00,A,EUR,EE,2021,21481,
ESTAT:NAMA_10_FTE(1.0),19/12/22 23:00:00,A,EUR,EL,2021,15879,
ESTAT:NAMA_10_FTE(1.0),19/12/22 23:00:00,A,EUR,ES,2021,28184,
ESTAT:NAMA_10_FTE(1.0),19/12/22 23:00:00,A,EUR,EU27_2020,2021,33511,
ESTAT:NAMA_10_FTE(1.0),19/12/22 23:00:00,A,EUR,FI,2021,43193,
ESTAT:NAMA_10_FTE(1.0),19/12/22 23:00:00,A,EUR,FR,2021,40135,
ESTAT:NAMA_10_FTE(1.0),19/12/22 23:00:00,A,EUR,HR,2021,16169,
ESTAT:NAMA_10_FTE(1.0),19/12/22 23:00:00,A,EUR,HU,2021,12618,
ESTAT:NAMA_10_FTE(1.0),19/12/22 23:00:00,A,EUR,IE,2021,50347,
ESTAT:NAMA_10_FTE(1.0),19/12/22 23:00:00,A,EUR,IT,2021,29951,
ESTAT:NAMA_10_FTE(1.0),19/12/22 23:00:00,A,EUR,LT,2021,21741,
ESTAT:NAMA_10_FTE(1.0),19/12/22 23:00:00,A,EUR,LU,2021,72247,
ESTAT:NAMA_10_FTE(1.0),19/12/22 23:00:00,A,EUR,LV,2021,18707,
ESTAT:NAMA_10_FTE(1.0),19/12/22 23:00:00,A,EUR,MT,2021,27334,
ESTAT:NAMA_10_FTE(1.0),19/12/22 23:00:00,A,EUR,PL,2021,14431,
ESTAT:NAMA_10_FTE(1.0),19/12/22 23:00:00,A,EUR,PT,2021,19301,
ESTAT:NAMA_10_FTE(1.0),19/12/22 23:00:00,A,EUR,RO,2021,13000,
ESTAT:NAMA_10_FTE(1.0),19/12/22 23:00:00,A,EUR,SE,2021,46934,
ESTAT:NAMA_10_FTE(1.0),19/12/22 23:00:00,A,EUR,SI,2021,28765,
ESTAT:NAMA_10_FTE(1.0),19/12/22 23:00:00,A,EUR,SK,2021,16162,
